date,year,month,day,median_ndvi,landsat
15-02-2015,2015,2,15,0.232884004712105,Landsat7 (ETM+)
"03-03-2015",2015,3,3,0.213103204965591,Landsat7 (ETM+)
19-03-2015,2015,3,19,0.228438839316368,Landsat7 (ETM+)
"04-04-2015",2015,4,4,0.217266887426376,Landsat7 (ETM+)
20-04-2015,2015,4,20,0.205105051398277,Landsat7 (ETM+)
"06-05-2015",2015,5,6,0.214597970247269,Landsat7 (ETM+)
22-05-2015,2015,5,22,0.213789477944374,Landsat7 (ETM+)
"07-06-2015",2015,6,7,0.214116409420967,Landsat7 (ETM+)
25-07-2015,2015,7,25,nan,Landsat7 (ETM+)
10-08-2015,2015,8,10,0.41206556558609,Landsat7 (ETM+)
11-09-2015,2015,9,11,0.369022935628891,Landsat7 (ETM+)
27-09-2015,2015,9,27,0.356366768479347,Landsat7 (ETM+)
13-10-2015,2015,10,13,0.332552045583725,Landsat7 (ETM+)
29-10-2015,2015,10,29,nan,Landsat7 (ETM+)
14-11-2015,2015,11,14,0.308596462011337,Landsat7 (ETM+)
30-11-2015,2015,11,30,0.283194124698639,Landsat7 (ETM+)
16-12-2015,2015,12,16,0.249158464372158,Landsat7 (ETM+)
"01-01-2016",2016,1,1,0.243974894285202,Landsat7 (ETM+)
"02-02-2016",2016,2,2,0.214509010314941,Landsat7 (ETM+)
18-02-2016,2016,2,18,0.202800169587135,Landsat7 (ETM+)
"05-03-2016",2016,3,5,0.197982966899872,Landsat7 (ETM+)
21-03-2016,2016,3,21,0.197171971201897,Landsat7 (ETM+)
"06-04-2016",2016,4,6,nan,Landsat7 (ETM+)
22-04-2016,2016,4,22,0.189955674111843,Landsat7 (ETM+)
"08-05-2016",2016,5,8,0.164480224251747,Landsat7 (ETM+)
24-05-2016,2016,5,24,0.187285289168358,Landsat7 (ETM+)
25-06-2016,2016,6,25,0.299727499485016,Landsat7 (ETM+)
